题目,答案
根据《道路交通安全法》的规定，（ ）以外的任何单位或者个人，不得收缴、扣留机动车驾驶证。,['公安机关交通管理部门']
食品生产加工小作坊和食品摊贩等从事食品生产经营活动，应当符合《食品安全法》规定的与其生产经营规模、条件相适应的食品安全要求，保证所生产经营的食品卫生、无毒、无害，食品安全监督管理部门应当对其加强监督管理。,['对']
全国实行统一的道路交通信号。,['对']
《道路交通安全法》中规定，交通信号包括（ ）。,"['交通信号灯', '交通标志', '交通标线', '交通警察的指挥']"
《道路交通安全法》中规定，机动车在高速公路上发生故障时，警告标志应当设置在故障车来车方向（ ）以外。,['150米']
如果火势较大，为了逃命可以从高楼跳下逃生。,['错']
劳动者被诊断患有职业病，但用人单位没有依法参加工伤保险的，其医疗和生活保障由该用人单位承担。,['对']
任何单位、个人不得损坏、挪用或者擅自拆除、停用消防设施、器材。,['对']
（ ）制定国家突发事件总体应急预案，组织制定国家突发事件专项应急预案。,['国务院']
为防止森林火灾，不要在林区（ ）。,"['吸烟', '烧烤', '点燃篝火', '上坟烧纸、燃放鞭炮']"
个人（ ）购买剧毒化学品（属于剧毒化学品的农药除外）和易制爆危险化学品。,['不得']
学校、幼儿园、医院、养老院门前的道路没有行人过街设施的，应当施划人行横道线，设置提示标志。,['对']
我国安全生产举报投诉特服电话是（ ）。,['12350']
《突发事件应对法》中规定，按照社会危害程度、影响范围等因素，自然灾害、事故灾难、公共卫生事件分为（ ）级。,['四']
《工伤保险条例》中规定，劳动功能障碍分为十个伤残等级，最重的为（ ）。,['一级']
危险物品的生产、经营、储存单位以及矿山、金属冶炼、城市轨道交通运营、建筑施工单位应当建立应急救援组织；生产经营规模较小的，可以不建立应急救援组织，但应当指定兼职的应急救援人员。,['对']
居民小区在没有车位的情况下，私家车可以停在消防通道上。,['错']
生产经营单位的特种作业人员必须按照国家有关规定经专门的安全作业培训，取得相应资格，方可上岗作业。,['对']
参加生产安全事故现场应急救援的单位和个人应当服从现场指挥部的统一指挥。,['对']
根据《国家突发公共事件总体应急预案》的规定，各类突发公共事件按照其性质、严重程度、可控性和影响范围等因素，一般分为三级。,['错']
安全色中黄色的含义是（ ）。,['传递注意、警告的信息']
应急预案评估可以邀请相关专业机构或者有关专家、有实际应急救援工作经验的人员参加，必要时可以委托安全生产技术服务机构实施。,['对']
根据《消防法》的规定，消防工作贯彻（ ）的方针，按照政府统一领导、部门依法监管、单位全面负责、公民积极参与的原则，实行消防安全责任制，建立健全社会化的消防工作网络。,['预防为主、防消结合']
人员密集场所发生火灾时，该场所的现场工作人员应当立即组织、引导在场人员疏散。,['对']
身上着火后，可采用迎风快跑的方法进行灭火。,['错']
《消防法》中规定，在农业收获季节、森林和草原防火期间、重大节假日期间以及火灾多发季节，地方各级人民政府应当组织开展有针对性的消防宣传教育，采取防火措施，进行消防安全检查。,['对']
甲省乙市丙县总工会的建立，须报（ ）批准。,['乙市总工会']
向用人单位提供可能产生职业病危害的设备的，应当提供中文说明书，并在设备的醒目位置（ ）。,['设置警示标识和中文警示说明']
防震减灾工作，实行（ ）、防御与救助相结合的方针。,['预防为主']
某家具制造公司有员工200人，根据《安全生产法》的规定，应当设置安全生产管理机构或者配备专职安全生产管理人员。,['对']
我国的火警电话是（ ）。,['119']
阳台上可以堆放易燃可燃杂物。,['错']
根据《地震应急避难场所 场址及配套设施》（GB 21734）的规定，下列场址可选作地震应急避难场所的有（ ）。,"['绿地', '广场', '体育场']"
任何人不得强迫、指使、纵容驾驶人违反道路交通安全法律、法规和机动车安全驾驶要求驾驶机动车。,['对']
我国常用应急电话中110是（ ）。,['公安报警电话']
冰雪地面阻力很小，雪天驾车出行时跟车距离太近很难在短距离内刹住车，容易造成追尾事故。,['对']
根据《生产安全事故报告和调查处理条例》的规定，未经事故调查组组长允许，事故调查组成员不得擅自发布有关事故的信息。,['对']
根据《特种设备安全法》的规定，下列选项中属于特种设备的有（ ）。,"['客运索道', '起重机械', '电梯', '大型游乐设施']"
根据《防震减灾法》的规定，新闻媒体应当开展地震灾害预防和应急、自救互救知识的公益宣传。,['对']
根据《职业病防治法》的规定，劳动者可以在（ ）依法承担职业病诊断的医疗卫生机构进行职业病诊断。,"['用人单位所在地', '本人户籍所在地', '经常居住地']"
下列开支不属于安全生产费用的使用的是（ ）。,['接待费支出']
根据《生产安全事故应急预案管理办法》的规定，编制应急预案前，编制单位应当进行（ ）。,"['事故风险辨识', '事故风险评估', '应急资源调查']"
《工伤保险条例》中规定，职工有下列（ ）情形之一的，应当认定为工伤。,"['工作时间前后在工作场所内，从事与工作有关的预备性或者收尾性工作受到事故伤害的', '在工作时间和工作场所内，因工作原因受到事故伤害的', '在上下班途中，受到非本人主要责任的交通事故或者城市轨道交通、客运轮渡、火车事故伤害的', '患职业病的']"
灭火器压力表用红、黄、绿三种颜色表示压力情况，当指针指在红色区域时表示（ ）。,['压力偏低']
下列选项中属于危险化学品生产企业取得安全生产许可证，应当具备的安全生产条件的有（ ）。,"['安全投入符合安全生产要求', '从业人员经安全生产教育和培训合格', '主要负责人和安全生产管理人员经考核合格', '依法进行安全评价']"
根据《消防法》的规定，个人占用、堵塞、封闭疏散通道、安全出口或者有其他妨碍安全疏散行为的，处（ ）。,['警告或者五百元以下罚款']
工人在打磨作业时必须使用棉纱口罩。,['错']
《安全生产法》中规定，生产经营单位与从业人员订立的劳动合同，应当载明有关保障从业人员劳动安全、防止职业危害的事项，以及依法为从业人员办理（ ）的事项。,['工伤保险']
单位专职消防队、志愿消防队参加扑救外单位火灾所损耗的燃料、灭火剂和器材、装备等，由发生火灾的单位给予补偿。,['错']
禁止在消防车通道、消防车登高操作场地设置构筑物、停车泊位、固定隔离桩等障碍物。,['对']
油锅起火时，要迅速用水进行扑救。,['错']
在室内闻到燃气气味时，处置方法错误的是（ ）。,"['打开燃气灶具查找漏气部位', '打开灯查找漏气部位']"
近几年燃气安全事故频发，根据《家用燃气燃烧器具安全管理规则》（GB 17905）的要求，消费者在发现燃具使用时有异常现象，应立即停止使用，并及时与销售者或生产者联系，取得技术支持和保护。,['对']
电器产品、燃气用具的安装、使用及其线路、管路的设计、敷设、维护保养、检测，必须符合消防技术标准和管理规定。,['对']
用人单位自用工之日起满（ ）不与劳动者订立书面劳动合同的，视为用人单位与劳动者已订立无固定期限劳动合同。,['一年']
《职业教育法》中规定，企业招用的从事技术工种的劳动者，上岗前必须（ ）。,['进行安全生产教育和技术培训']
下列物质中，不属于危险化学品的是（ ）。,['玉米淀粉']
禁止侵占、截留、挪用地震应急救援、地震灾后过渡性安置和恢复重建的资金、物资。,['对']
火灾造成人员死亡的最主要的原因是（ ）。,['吸入烟气窒息而死']
在应急救援过程中，对危险区的人员应及时组织疏散至（ ），在污染严重、被困人员多、情况比较复杂时，应有其他组配合疏散组开展工作。,['安全地带']
《道路交通安全法》中规定，交通信号灯由（ ）组成。,"['红灯', '绿灯', '黄灯']"
根据《职业病防治法》的规定，职业病防治工作坚持预防为主、防治结合的方针，建立（ ）和社会监督的机制，实行分类管理、综合治理。,"['用人单位负责', '行政机关监管', '行业自律', '职工参与']"
《消防法》中规定，任何人发现火灾都应当（ ）。,['立即报警']
生产经营单位不得因安全生产管理人员依法履行职责而（ ）。,"['降低其工资', '解除与其订立的劳动合同']"
邮政企业、快递企业可以收寄危险化学品。,['错']
国家实行生产安全事故责任追究制度，依照《安全生产法》和有关法律、法规的规定，追究生产安全事故（ ）的法律责任。,"['责任单位', '责任人员']"
发生触电事故时，在救助触电者之前，应当先用绝缘体切断电源，不可以用手直接拉开触电者。,['对']
工会依法参加事故调查处理，有权向有关部门提出处理意见。,['对']
我国常用应急电话中12119是（ ）。,['森林防火报警电话']
公众发现、捡拾的无主危险化学品，由（ ）接收。,['公安机关']
在应急救援过程中，根据燃烧物的具体性质，选用合适的（ ）扑灭火灾。,['灭火剂']
县级以上人民政府应当严格履行职责，及时、准确地完成事故调查处理工作。,['对']
《道路交通安全法》中规定，（ ）执行紧急任务时，可以使用警报器、标志灯具。,"['警车', '消防车', '救护车', '工程救险车']"
未经安全生产教育和培训合格的从业人员，经总经理同意后可以上岗作业。,['错']
某单位施工队队长王某开挖沟槽，作业中，现场未采取任何安全支撑措施。工人李某认为风险很大，要求暂停作业，但王某以不下去干活就扣本月奖金相威胁，坚持要求工人继续作业，李某拒绝王某的指挥。根据《安全生产法》的规定，下列关于该单位对李某可采取措施的说法，正确的是（ ） 。,['不得给予李某任何处分']
根据《劳动法》的规定，应当给予特殊劳动保护的未成年工是指（ ）的劳动者。,['年满16周岁未满18周岁']
根据《生产安全事故报告和调查处理条例》的规定，下列选项中属于较大事故的有（ ）。,"['某电信公司施工人员在架设电信光缆过程中，5人触电身亡', '某化工厂发生氯气泄漏事故，造成9人死亡']"
发现煤气泄漏后，下列做法正确的是（ ）。,['及时关闭总阀门']
编制应急预案前，编制单位应当进行事故风险辨识、评估和应急资源调查。,['对']
《消防法》中规定，禁止非法携带（ ）进入公共场所或者乘坐公共交通工具。,['易燃易爆危险品']
人员密集场所的门窗不得设置影响逃生和灭火救援的障碍物。,['对']
根据《工伤保险条例》的规定，职工在工作时间和工作岗位，突发疾病死亡或者在72小时之内经抢救无效死亡的，视同工伤。,['错']
不能随意更改已安装好的电器线路，不要乱接电源。,['对']
《生产安全事故报告和调查处理条例》中规定，事故调查中需要进行技术鉴定的，技术鉴定所需时间（ ）事故调查期限。,['不计入']
《道路交通安全法》中规定，任何单位或者个人不得伪造、变造或者使用伪造、变造的机动车登记证书、号牌、行驶证、检验合格标志、保险标志。,['对']
根据《工伤保险条例》的规定，在工作时间和工作场所内，因履行工作职责受到暴力等意外伤害的，（ ）为工伤。,['应当认定']
《安全生产法》中规定，从业人员在作业过程中，（ ）岗位安全责任，遵守本单位的安全生产规章制度和操作规程，服从管理，正确佩戴和使用劳动防护用品。,['应当严格落实']
应急救援队伍的应急救援人员应当具备必要的专业知识、技能、身体素质和心理素质。,['对']
夜间行驶或者在容易发生危险的路段行驶，以及遇有（ ）、雾、结冰等气象条件时，应当降低行驶速度。,"['沙尘', '冰雹', '雨', '雪']"
任何人发现火灾都应当立即报警。任何单位、个人都应当无偿为报警提供便利，不得阻拦报警。,['对']
根据《道路交通安全法》的规定， 对道路交通安全违法行为的处罚种类包括（ ）。,"['警告', '罚款', '暂扣或者吊销机动车驾驶证', '拘留']"
下列救护中属于创伤救护的是（ ）。,"['止血', '骨折固定', '包扎']"
根据《刑法》的规定，明知自己的行为会发生危害社会的结果，并且希望或者放任这种结果发生，因而构成犯罪的，是故意犯罪。,['对']
根据《道路交通安全法》的规定，下列说法正确的是（ ）。,['机动车通过没有交通信号灯的交叉路口时，应当减速慢行，并让行人和优先通行的车辆先行']
防震减灾工作，实行预防为主、防御与救助相结合的方针。,['对']
突遇火灾，面对浓烟和烈火，首先要保持镇静，判断危险地点和安全地点，选择合适的逃生路线，迅速撤离。,['对']
当身上的衣服烧着后，下列做法正确的是（ ）。,['就地打滚，压灭火焰']
国家对烟花爆竹的生产、经营、运输和举办焰火晚会以及其他大型焰火燃放活动，实行许可证制度。未经许可，任何单位或者个人不得生产、经营、运输烟花爆竹，不得举办焰火晚会以及其他大型焰火燃放活动。,['对']
实行安全生产许可制度的企业有（ ）。,"['矿山企业', '建筑施工企业和危险化学品生产企业', '烟花爆竹生产企业', '民用爆炸物品生产企业']"
在作业过程中职工对于用人单位任何指挥都应无条件服从。,['错']
根据《安全生产法》的规定，生产经营单位使用被派遣劳动者的，被派遣劳动者（ ）。,"['享有《安全生产法》规定的从业人员的权利，并应当履行《安全生产法》规定的从业人员的义务', '应当由生产经营单位纳入本单位从业人员进行统一管理']"
《特种设备安全法》中规定，客运索道、大型游乐设施在每日投入使用前，其运营使用单位应当进行试运行和例行安全检查，并对安全附件和安全保护装置进行检查确认。,['对']
根据《特种设备安全监察条例》的规定，电梯、客运索道、大型游乐设施等为公众提供服务的特种设备运营使用单位，应当设置特种设备安全管理机构或者配备兼职安全管理人员。,['错']
根据《工贸企业有限空间作业安全管理与监督暂行规定》，工贸企业应当对从事有限空间作业的（ ）进行专项安全培训。,"['现场负责人', '监护人员', '作业人员', '应急救援人员']"
根据《道路交通安全法》的规定，车辆发生交通事故后逃逸的，事故现场目击人员和其他知情人员应当向公安机关交通管理部门或者交通警察举报。,['对']
建立完善地方各级党委和政府安全生产（ ）工作制度，加强对下级党委和政府的安全生产巡查，推动安全生产责任措施落实。,['巡查']
根据《传染病防治法》的规定，传染病分为（ ）类。,['三']
下列有毒气体具有臭鸡蛋气味的是（ ）。,['硫化氢']
进行电焊、气焊等具有火灾危险作业的人员和自动消防系统的操作人员，必须持证上岗，并遵守消防安全操作规程。,['对']
生产经营单位必须为从业人员提供符合国家标准或者行业标准的劳动防护用品，并监督、教育从业人员按照使用规则佩戴、使用。,['对']
下列选项属于我国法定的职业性尘肺病的是（ ）。,"['滑石尘肺', '煤工尘肺', '石墨尘肺', '云母尘肺']"
根据《消防法》的规定，消防设施，是指火灾自动报警系统、自动灭火系统、消火栓系统、防烟排烟系统以及应急广播和应急照明、安全疏散设施等。,['对']
《特种设备安全监察条例》所称特种设备是指涉及生命安全、危险性较大的锅炉、压力容器（含气瓶）、（ ）、大型游乐设施和场（厂）内专用机动车辆。,"['压力管道', '电梯', '起重机械', '客运索道']"
扑救爆炸物品火灾时，（ ）用沙土盖压，以防造成更大伤害。,['禁止']
新闻媒体应有偿开展突发事件预防与应急、自救与互救知识的公益宣传。,['错']
个人不得购买（ ）易制毒化学品。,"['第一类', '第二类']"
任何单位和个人不得阻挠和干涉对事故的报告和依法调查处理。,['对']
用人单位应当将本单位属于女职工禁忌从事的劳动范围的岗位书面告知女职工。,['对']
（ ）、海上设施和船舶以及矿山井下使用的特种设备、民用机场专用设备的安全监察不适用《特种设备安全监察条例》。,"['军事装备', '核设施', '航空航天器', '铁路机车']"
《特种设备安全监察条例》中规定，电梯的日常维护保养必须由依照本条例取得许可的安装、改造、维修单位或者电梯制造单位进行。电梯应当至少每（ ）日进行一次清洁、润滑、调整和检查。,['15']
事故调查组有权向有关单位和个人了解与事故有关的情况，并要求其提供相关文件、资料，有关单位和个人不得拒绝。,['对']
根据《生产安全事故应急条例》的规定，下列关于生产安全事故应急救援预案演练的做法，正确的是（ ）。,"['某街道办事处每2年组织1次生产安全事故应急救援预案演练', '某商场每半年组织1次生产安全事故应急救援预案演练']"
用人单位有会员（ ）人以上的，应当建立基层工会委员会。,['25']
禁止在高层民用建筑公共门厅、疏散走道、楼梯间、安全出口停放电动自行车或者为电动自行车充电。,['对']
从事饮水、饮食、整容、保育等易使传染病扩散工作的从业人员，必须按照国家有关规定取得健康合格证后方可上岗。,['对']
家住山中危险区的人们，如果发现突发异乎寻常的暴雨，应当（ ）。,['立即按既定路线主动转移到安全区']
用人单位不得安排未成年工从事接触职业病危害的作业；不得安排孕期、哺乳期的女职工从事对本人和胎儿、婴儿有危害的作业。,['对']
生产经营单位编制应急预案时应成立编制工作小组，由本单位有关负责人任组长。,['对']
人员密集场所使用不合格的消防产品或者国家明令淘汰的消防产品的，责令限期改正；逾期不改正的，处五千元以上五万元以下罚款，并对其直接负责的主管人员和其他直接责任人员处五百元以上二千元以下罚款；情节严重的，责令停产停业。,['对']
从业人员发现直接危及人身安全的紧急情况时，有权停止作业或者（ ）后撤离作业场所。,['在采取可能的应急措施']
《突发事件应对法》中规定，（ ）人民政府应当对本行政区域内容易引发自然灾害、事故灾难和公共卫生事件的危险源、危险区域进行调查、登记、风险评估，定期进行检查、监控，并责令有关单位采取安全防范措施。,['县级']
根据《道路交通安全法》的规定，下列说法正确的有（ ）。,"['行人应当在人行道内行走，没有人行道的靠路边行走', '行人不得跨越、倚坐道路隔离设施，不得扒车、强行拦车或者实施妨碍道路交通安全的其他行为', '行人通过路口或者横过道路，应当走人行横道或者过街设施', '行人通过铁路道口时，应当按照交通信号或者管理人员的指挥通行；没有交通信号和管理人员的，应当在确认无火车驶临后，迅速通过']"
建设项目安全设施的（ ）应当对安全设施设计负责。,"['设计人', '设计单位']"
根据《刑法》的规定，强令他人违章冒险作业，或者明知存在重大事故隐患而不排除，仍冒险组织作业，因而发生重大伤亡事故或者造成其他严重后果的，处（ ）以下有期徒刑或者拘役。,['五年']
根据《工伤保险条例》的规定，工伤职工治疗非工伤引发的疾病，不享受工伤医疗待遇，按照基本医疗保险办法处理。,['对']
燃烧的三要素包括（ ）。,"['可燃物', '点火源', '助燃物']"
乘坐正在行驶的公交车突然发生自燃时，正确的做法有（ ）。,"['从能够打开的车门快速逃生', '车门无法打开时，用安全锤敲碎车窗玻璃逃生']"
《消防法》中规定，任何（ ）都有维护消防安全、保护消防设施、预防火灾、报告火警的义务。,['单位和个人']
根据《安全生产法》的规定，生产经营单位的主要负责人应及时、如实报告生产安全事故。,['对']
下列选项中属于《国家突发公共事件总体应急预案》的工作原则的有（ ）。,"['以人为本，减少危害', '居安思危，预防为主', '统一领导，分级负责', '依法规范，加强管理']"
《城镇燃气管理条例》中规定，燃气燃烧器具生产单位应当在燃气燃烧器具上明确标识所适应的燃气种类。,['对']
事故调查处理应当按照（ ）的原则，及时、准确地查清事故原因，查明事故性质和责任，评估应急处置工作，总结事故教训，提出整改措施，并对事故责任单位和人员提出处理建议。,"['科学严谨', '依法依规', '实事求是', '注重实效']"
除中毒、缺氧窒息和燃爆外，有限空间内还可能存在淹溺、高处坠落、触电、物体打击、机械伤害、灼烫、坍塌、掩埋、高温高湿等安全风险。,['对']
《危险化学品企业特殊作业安全规范》（GB 30871）中规定，受限空间作业前（ ）内，对受限空间进行气体检测，检测分析合格后方可进入。,['30min']
我国《安全生产法》要求所有的生产经营单位都应投保安全生产责任保险。,['错']
根据《防震减灾法》的规定，（ ）对建设工程的抗震设计、施工的全过程负责。,['建设单位']
生产用于传染病防治的消毒产品的单位和生产用于传染病防治的消毒产品，应当经省级以上人民政府卫生行政部门审批。,['对']
2023年“安全生产月”主题是（ ）。,['人人讲安全、个个会应急']
任何单位、个人不得埋压、圈占、遮挡消火栓或者占用防火间距，不得占用、堵塞、封闭疏散通道、安全出口、消防车通道。,['对']
《生产安全事故报告和调查处理条例》中规定，根据生产安全事故造成的人员伤亡或者直接经济损失，事故一般分为轻微事故、一般事故、重大事故和特别重大事故。,['错']
举办大型群众性活动，承办人应当依法向（ ）申请安全许可。,['公安机关']
《消防法》中规定，严禁谎报火警。,['对']
根据《安全生产许可证条例》的规定，危险化学品生产企业的安全生产许可证有效期为5年。,['错']
根据《防震减灾法》的规定，（ ）应当按照抗震设防要求和工程建设强制性标准进行抗震设计，并对抗震设计的质量以及出具的施工图设计文件的准确性负责。,['设计单位']
职工（ ）人以上的企业、事业单位、社会组织的工会，可以设专职工会主席。,['200']
《关于推进城市安全发展的意见》中指出，对城市安全风险进行全面辨识评估，建立城市安全风险信息管理平台，绘制“红、橙、黄、（ ）”四色等级安全风险空间分布图。,['蓝']
根据《消防法》的规定，公众聚集场所未经消防救援机构许可的，不得投入使用、营业。,['对']
禁止标志是禁止人们不安全行为的图形标志，它的基本形式是（ ）。,['带斜杠的圆边框']
我国的医疗急救电话是（ ）。,['120']
根据《女职工劳动保护特别规定》，用人单位可以因女职工怀孕、生育、哺乳降低其工资、予以辞退、与其解除劳动或者聘用合同。,['错']
根据《职业病防治法》的规定，职业健康检查费用由（ ）承担。,['用人单位']
生产经营单位应当对从业人员进行安全生产教育和培训，但在生产任务重时，从业人员可以先上岗，后培训。,['错']
生活自理障碍分为三个等级，生活完全不能自理、生活大部分不能自理和生活部分不能自理。,['对']
违反《安全生产许可证条例》规定，未取得安全生产许可证擅自进行生产的，责令停止生产，没收违法所得，并处10万元以上（ ）万元以下的罚款；造成重大事故或者其他严重后果，构成犯罪的，依法追究刑事责任。,['50']
未经安全生产教育和培训合格的从业人员，也可以上岗作业。,['错']
下列选项中不属于常用包扎伤口的材料物品的是（ ）。,['纸巾']
根据《民用航空安全保卫条例》的规定，航空器内禁止的行为有（ ）。,"['抢占座位、行李舱（架）', '打架、酗酒、寻衅滋事', '盗窃、故意损坏或者擅自移动救生物品和设备', '危及飞行安全和扰乱航空器内秩序的其他行为']"
根据《消防法》的规定，对在消防工作中有突出贡献的单位和个人，应当按照国家有关规定给予表彰和奖励。,['对']
工人操作机械时，要求穿着紧身适合的工作服，以防（ ）。,['被机器转动部分缠绕']
生产经营单位的从业人员（ ）了解其作业场所和工作岗位存在的危险因素、防范措施及事故应急措施。,['有权']
安全色中红色的含义是（ ）。,['传递禁止、停止、危险或提示消防设备、设施的信息']
